KEY_CODE,HYOSYO,PARENT,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,POP,MALE,FEMALE,HOUSEHOLD,ken,BaseArea,DiffArea
"143410140","2","14341",中郡大磯町,寺坂,"0",,,"317","160","157","118","14",1459861.495,139.393
"143640060","2","14364",足柄上郡山北町,都夫良野,"0",,,"19","9","10","12","14",2387854.071,10654.355
"142170070","2","14217",南足柄市,大雄町,"0",,,"255","136","119","109","14",1403149.940,946461.458
"141510470","2","14151",相模原市緑区,名倉,"0",,,"1122","543","579","403","14",4607211.352,498345.619
"14135606006","3","141356060",川崎市多摩区,菅６丁目,"0",,,"2439","1220","1219","1114","14",123201.442,25810.376
"143410090","2","14341",中郡大磯町,東小磯,"0",,,"2966","1435","1531","1197","14",1087933.017,1027568.403
"14364001000","3","143640010",足柄上郡山北町,山北,"0",,,"3288","1587","1701","1227","14",6286040.458,770599.271
"141510480","2","14151",相模原市緑区,牧野,"0",,,"2127","1065","1062","580","14",28526605.844,20835859.636
"142110250","2","14211",秦野市,平沢,"0",,,"7962","4033","3929","2964","14",3216947.729,32052.678
"142100310","2","14210",三浦市,初声町高円坊,"0",,,"1012","484","528","200","14",1734742.777,284531.991
"142010701","2","14201",横須賀市,鴨居,"0",,,"444","188","256","203","14",44674.491,1365.855
"142120553","2","14212",厚木市,上荻野,"0",,,"5275","2691","2584","1723","14",11033504.280,2604901.908
"142120552","2","14212",厚木市,まつかげ台,"0",,,"1926","953","973","733","14",241914.691,142083.351
"14102111202","3","141021112",横浜市神奈川区,羽沢町,"0",,,"7394","3750","3644","3100","14",1699214.884,954.022
"144010020","2","14401",愛甲郡愛川町,田代,"0",,,"3181","1588","1593","1178","14",4183794.829,337484.223
"141510390","2","14151",相模原市緑区,小原,"0",,,"412","215","197","165","14",4501887.077,4501887.077
"143610040","2","14361",足柄上郡中井町,雑色,"0",,,"115","57","58","39","14",781145.604,142010.373
"142100220","2","14210",三浦市,三崎町城ケ島,"0",,,"484","240","244","206","14",869357.629,17432.673
"142110470","2","14211",秦野市,菩提,"0",,,"2448","1289","1159","818","14",14430153.153,10252481.105
"142060930","2","14206",小田原市,曽我谷津,"0",,,"718","344","374","243","14",1093498.874,962612.449
"14206066011","3","142060660",小田原市,早川,"0",,,"1269","581","688","471","14",8575080.340,3292762.096
"14201101004","3","142011010",横須賀市,秋谷４丁目,"0",,,"0","0","0","0","14",1021828.790,994999.288
"14201101000","3","142011010",横須賀市,秋谷,"0",,,"1433","692","741","621","14",1852525.302,507367.083
"14201101003","3","142011010",横須賀市,秋谷３丁目,"0",,,"229","99","130","114","14",233476.648,233476.648
"14363001000","3","143630010",足柄上郡松田町,松田庶子,"0",,,"2295","1132","1163","876","14",4590895.590,3807848.794
"143830010","2","14383",足柄下郡真鶴町,真鶴,"0",,,"4817","2244","2573","2044","14",2380323.237,36003.780
"142140290","2","14214",伊勢原市,三ノ宮,"0",,,"2321","1161","1160","818","14",4863581.127,848908.397
"142140180","2","14214",伊勢原市,大山,"0",,,"485","251","234","159","14",4582969.809,4582969.809
"142170040","2","14217",南足柄市,弘西寺,"0",,,"374","191","183","112","14",227757.540,19510.656
"141510460","2","14151",相模原市緑区,日連,"0",,,"1703","852","851","641","14",4931498.845,97534.854
"14201099003","3","142010990",横須賀市,佐島３丁目,"0",,,"475","216","259","157","14",411108.004,118778.128
"14204116004","3","142041160",鎌倉市,今泉台４丁目,"0",,,"1054","483","571","437","14",152303.665,922.481
"14204116005","3","142041160",鎌倉市,今泉台５丁目,"0",,,"423","191","232","166","14",88777.001,30789.088
"14201106001","3","142011060",横須賀市,湘南国際村１丁目,"0",,,"671","324","347","241","14",336144.731,71313.482
"14201106003","3","142011060",横須賀市,湘南国際村３丁目,"0",,,"0","0","0","0","14",883995.252,55410.240
"141356080","2","14135",川崎市多摩区,菅野戸呂,"0",,,"1585","845","740","773","14",295128.807,56817.623
"141510320","2","14151",相模原市緑区,青山,"0",,,"2641","1322","1319","989","14",9505734.527,2255823.811
"142110710","2","14211",秦野市,千村,"1",,"074000","527","235","292","151","14",1687709.596,447624.781
"142061230","2","14206",小田原市,上曽我,"0",,,"681","325","356","218","14",2690371.793,686694.296
"144010010","2","14401",愛甲郡愛川町,半原,"0",,,"7374","3757","3617","2827","14",10328515.568,2967344.612
"14217001002","3","142170010",南足柄市,矢倉沢,"0",,,"601","286","315","97","14",4078327.025,4078327.025
"14217001001","3","142170010",南足柄市,矢倉沢,"0",,,"52","25","27","20","14",16721373.694,16721373.694
"143610050","2","14361",足柄上郡中井町,鴨沢,"0",,,"150","71","79","49","14",1407857.666,1407555.318
"143640040","2","14364",足柄上郡山北町,平山,"0",,,"439","223","216","169","14",3624453.601,739802.028
"142110400","2","14211",秦野市,寺山,"0",,,"1409","708","701","484","14",3052164.949,343491.816
"142040920","2","14204",鎌倉市,山ノ内,"0",,,"3829","1815","2014","1705","14",2007721.115,112449.195
"14137731001","3","141377310",川崎市麻生区,はるひ野１丁目,"0",,,"1894","915","979","624","14",107990.613,107990.613
"14137731002","3","141377310",川崎市麻生区,はるひ野２丁目,"0",,,"1424","700","724","480","14",129924.321,129924.321
"14137731003","3","141377310",川崎市麻生区,はるひ野３丁目,"0",,,"1428","723","705","407","14",169825.215,169825.215
"14137731004","3","141377310",川崎市麻生区,はるひ野４丁目,"0",,,"2144","946","1198","753","14",183992.689,183992.689
