MESH_ID,CITY_CODE,POP2010,POP2020,POP2025,POP2030,POP2035,POP2040,POP2045,POP2050,INDEX2020,INDEX2025,INDEX2030,INDEX2035,INDEX2040,INDEX2045,INDEX2050,POP2010A,POP2020A,POP2025A,POP2030A,POP2035A,POP2040A,POP2045A,POP2050A,INDEX2020A,INDEX2025A,INDEX2030A,INDEX2035A,INDEX2040A,INDEX2045A,INDEX2050A,POP2010B,POP2020B,POP2025B,POP2030B,POP2035B,POP2040B,POP2045B,POP2050B,INDEX2020B,INDEX2025B,INDEX2030B,INDEX2035B,INDEX2040B,INDEX2045B,INDEX2050B,POP2010C,POP2020C,POP2025C,POP2030C,POP2035C,POP2040C,POP2045C,POP2050C,INDEX2020C,INDEX2025C,INDEX2030C,INDEX2035C,INDEX2040C,INDEX2045C,INDEX2050C,POP2010D,POP2020D,POP2025D,POP2030D,POP2035D,POP2040D,POP2045D,POP2050D,INDEX2020D,INDEX2025D,INDEX2030D,INDEX2035D,INDEX2040D,INDEX2045D,INDEX2050D,MeshArea,ClipArea
"53393523","13112",16807.6700000000,17032.2800000000,16846.3000000000,16559.3400000000,16215.8800000000,15797.1100000000,15300.4000000000,14731.3300000000,101.3360000000,100.2300000000,98.5230000000,96.4790000000,93.9880000000,91.0320000000,87.6460000000,1427.0800000000,1727.2800000000,1706.2700000000,1495.6700000000,1348.2100000000,1239.4200000000,1143.2100000000,1056.9700000000,121.0360000000,119.5640000000,104.8060000000,94.4730000000,86.8500000000,80.1080000000,74.0650000000,11934.6800000000,11351.2900000000,11040.0100000000,10665.7500000000,10102.1200000000,9261.3800000000,8293.9900000000,7532.8400000000,95.1120000000,92.5040000000,89.3680000000,84.6450000000,77.6010000000,69.4950000000,63.1170000000,3445.9200000000,3953.7000000000,4100.0000000000,4397.9200000000,4765.5400000000,5296.2900000000,5863.1700000000,6141.5100000000,114.7360000000,118.9810000000,127.6270000000,138.2950000000,153.6970000000,170.1480000000,178.2260000000,1819.2800000000,2160.2500000000,2441.2600000000,2481.2500000000,2559.7700000000,2779.8900000000,3076.9500000000,3506.6400000000,118.7420000000,134.1880000000,136.3860000000,140.7020000000,152.8020000000,169.1300000000,192.7490000000,1047246.396,1047246.396
"53393524","13112",15390.0900000000,15425.1200000000,15159.7400000000,14786.8900000000,14364.8400000000,13910.8000000000,13410.9300000000,12862.0900000000,100.2280000000,98.5030000000,96.0810000000,93.3380000000,90.3880000000,87.1400000000,83.5740000000,1350.7700000000,1415.1800000000,1391.6400000000,1247.1900000000,1142.5900000000,1062.4000000000,987.9700000000,919.6100000000,104.7680000000,103.0260000000,92.3320000000,84.5880000000,78.6510000000,73.1410000000,68.0800000000,10603.5000000000,10108.8400000000,9813.7500000000,9448.9600000000,8892.6200000000,8225.1200000000,7473.0600000000,6775.3700000000,95.3350000000,92.5520000000,89.1120000000,83.8650000000,77.5700000000,70.4770000000,63.8970000000,3435.8300000000,3901.1500000000,3954.3800000000,4090.8000000000,4329.6900000000,4623.3500000000,4949.9800000000,5167.2000000000,113.5430000000,115.0920000000,119.0630000000,126.0160000000,134.5630000000,144.0690000000,150.3920000000,1622.2700000000,2195.1500000000,2445.3000000000,2399.9600000000,2391.5200000000,2499.3800000000,2716.2400000000,2970.7500000000,135.3130000000,150.7330000000,147.9380000000,147.4180000000,154.0670000000,167.4350000000,183.1230000000,1047246.396,372748.750
"53393532","13112",15313.6900000000,15678.2400000000,15651.7000000000,15525.7100000000,15304.4100000000,14980.7600000000,14558.3400000000,14032.9000000000,102.3810000000,102.2070000000,101.3850000000,99.9390000000,97.8260000000,95.0670000000,91.6360000000,1872.1200000000,1634.1500000000,1438.8100000000,1322.2000000000,1266.0100000000,1225.4700000000,1167.5100000000,1083.5500000000,87.2890000000,76.8550000000,70.6260000000,67.6240000000,65.4590000000,62.3630000000,57.8780000000,10670.1100000000,10706.3600000000,10572.0900000000,10105.2300000000,9434.6600000000,8778.9600000000,8241.1300000000,7818.7600000000,100.3400000000,99.0810000000,94.7060000000,88.4210000000,82.2760000000,77.2360000000,73.2770000000,2771.4600000000,3337.7300000000,3640.8000000000,4098.2900000000,4603.7400000000,4976.3400000000,5149.7100000000,5130.6000000000,120.4320000000,131.3680000000,147.8750000000,166.1120000000,179.5570000000,185.8120000000,185.1230000000,1445.3400000000,1738.0000000000,1987.7600000000,2125.6800000000,2330.6500000000,2662.9700000000,3029.1200000000,3268.3100000000,120.2490000000,137.5290000000,147.0710000000,161.2530000000,184.2450000000,209.5780000000,226.1270000000,1047139.256,250832.351
"53393533","13110",16198.0400000000,16114.6400000000,15864.8200000000,15513.0800000000,15073.4800000000,14570.7400000000,14000.9100000000,13352.4700000000,99.4850000000,97.9430000000,95.7710000000,93.0570000000,89.9540000000,86.4360000000,82.4330000000,1529.4400000000,1468.1800000000,1378.9200000000,1217.5100000000,1101.5500000000,1018.3500000000,944.6900000000,873.3200000000,95.9950000000,90.1580000000,79.6050000000,72.0230000000,66.5830000000,61.7670000000,57.1010000000,11377.6800000000,10826.2600000000,10459.0400000000,9915.3900000000,9237.3700000000,8357.2900000000,7573.7000000000,6872.5400000000,95.1530000000,91.9260000000,87.1480000000,81.1890000000,73.4530000000,66.5660000000,60.4040000000,3290.9100000000,3820.3100000000,4026.9800000000,4380.3000000000,4734.6800000000,5195.2000000000,5482.6300000000,5606.7200000000,116.0870000000,122.3670000000,133.1030000000,143.8710000000,157.8650000000,166.5990000000,170.3700000000,1672.1200000000,2118.0600000000,2373.5600000000,2424.2400000000,2537.7500000000,2799.8500000000,3068.2400000000,3425.6000000000,126.6690000000,141.9490000000,144.9800000000,151.7680000000,167.4430000000,183.4940000000,204.8660000000,1047139.256,1047139.256
"53393534","13110",21066.2400000000,21255.1000000000,21016.1800000000,20625.0600000000,20102.0000000000,19481.1900000000,18784.1400000000,18006.6800000000,100.8970000000,99.7620000000,97.9060000000,95.4230000000,92.4760000000,89.1670000000,85.4760000000,2069.3700000000,1986.6000000000,1858.2300000000,1681.9900000000,1541.0800000000,1409.7400000000,1285.8200000000,1171.4800000000,96.0000000000,89.7970000000,81.2800000000,74.4710000000,68.1240000000,62.1360000000,56.6100000000,14859.9800000000,14390.3500000000,14054.8000000000,13507.8800000000,12733.6800000000,11755.3000000000,10708.9900000000,9697.5700000000,96.8400000000,94.5820000000,90.9010000000,85.6910000000,79.1070000000,72.0660000000,65.2600000000,4136.8900000000,4878.0700000000,5103.0800000000,5435.1300000000,5827.1700000000,6316.0500000000,6789.2400000000,7137.5300000000,117.9160000000,123.3550000000,131.3820000000,140.8590000000,152.6760000000,164.1150000000,172.5340000000,2051.0900000000,2684.0900000000,3055.9700000000,3103.1700000000,3199.8200000000,3425.8100000000,3736.5100000000,4137.7700000000,130.8620000000,148.9920000000,151.2940000000,156.0060000000,167.0240000000,182.1720000000,201.7350000000,1047139.256,850127.652
"53393535","13111",19765.4900000000,19657.7900000000,19300.1200000000,18804.4500000000,18229.6200000000,17595.7000000000,16943.2700000000,16248.8700000000,99.4550000000,97.6460000000,95.1380000000,92.2300000000,89.0220000000,85.7210000000,82.2080000000,1795.6000000000,1821.3600000000,1715.7400000000,1536.1500000000,1409.2800000000,1299.7600000000,1210.5000000000,1125.8200000000,101.4350000000,95.5520000000,85.5510000000,78.4850000000,72.3860000000,67.4150000000,62.6990000000,13425.8200000000,12690.5600000000,12453.5200000000,12048.4300000000,11339.4300000000,10452.7300000000,9492.9400000000,8654.4400000000,94.5240000000,92.7580000000,89.7410000000,84.4600000000,77.8550000000,70.7070000000,64.4610000000,4544.0500000000,5145.8700000000,5130.8700000000,5219.8700000000,5480.9100000000,5843.1900000000,6239.8300000000,6468.6000000000,113.2440000000,112.9140000000,114.8730000000,120.6170000000,128.5900000000,137.3190000000,142.3530000000,2221.0100000000,2873.2300000000,3211.2400000000,3170.6800000000,3068.0500000000,3118.8000000000,3380.1500000000,3736.5600000000,129.3660000000,144.5850000000,142.7580000000,138.1380000000,140.4230000000,152.1900000000,168.2370000000,1047139.256,15055.623
"53393542","13112",14256.5400000000,14739.1400000000,14760.7300000000,14678.5300000000,14501.3300000000,14232.0300000000,13854.5800000000,13382.2800000000,103.3850000000,103.5370000000,102.9600000000,101.7170000000,99.8280000000,97.1810000000,93.8680000000,1864.1100000000,1546.5500000000,1297.0200000000,1209.4200000000,1178.1400000000,1154.6500000000,1108.9000000000,1025.0500000000,82.9650000000,69.5790000000,64.8790000000,63.2010000000,61.9410000000,59.4870000000,54.9890000000,9920.8400000000,10187.3900000000,10159.3800000000,9787.1200000000,9204.8900000000,8616.3200000000,8121.0900000000,7822.5300000000,102.6870000000,102.4040000000,98.6520000000,92.7830000000,86.8510000000,81.8590000000,78.8490000000,2471.5700000000,3005.2400000000,3304.3700000000,3682.0300000000,4118.3600000000,4461.0900000000,4624.6400000000,4534.7400000000,121.5920000000,133.6950000000,148.9750000000,166.6290000000,180.4960000000,187.1130000000,183.4760000000,1229.1400000000,1572.6500000000,1824.8900000000,1910.7800000000,2110.0600000000,2383.7700000000,2698.3000000000,2922.2700000000,127.9470000000,148.4690000000,155.4570000000,171.6700000000,193.9380000000,219.5270000000,237.7490000000,1047032.093,3080.104
"53393543","13110",16070.3900000000,16319.5200000000,16274.3100000000,16129.9800000000,15841.2400000000,15447.2600000000,14965.4400000000,14396.5900000000,101.5500000000,101.2690000000,100.3710000000,98.5740000000,96.1220000000,93.1240000000,89.5850000000,2126.2500000000,1747.6100000000,1435.5200000000,1324.3100000000,1266.2000000000,1220.4900000000,1160.9400000000,1071.1800000000,82.1920000000,67.5140000000,62.2840000000,59.5510000000,57.4010000000,54.6000000000,50.3790000000,11051.9300000000,10874.6900000000,10871.9200000000,10460.7200000000,9769.0200000000,9076.2400000000,8515.7100000000,8068.9200000000,98.3960000000,98.3710000000,94.6510000000,88.3920000000,82.1240000000,77.0520000000,73.0090000000,2892.2600000000,3697.2800000000,3966.9500000000,4345.0200000000,4806.1000000000,5150.5700000000,5288.8600000000,5256.5600000000,127.8340000000,137.1570000000,150.2290000000,166.1710000000,178.0810000000,182.8630000000,181.7460000000,1399.8300000000,1882.2200000000,2302.9400000000,2400.6700000000,2520.0700000000,2766.4500000000,3129.1900000000,3379.9900000000,134.4610000000,164.5160000000,171.4970000000,180.0270000000,197.6280000000,223.5410000000,241.4570000000,1047032.093,800175.967
"53393544","13110",16506.4900000000,16619.0500000000,16439.5900000000,16137.6400000000,15706.5800000000,15206.8700000000,14634.0100000000,13990.7500000000,100.6820000000,99.5950000000,97.7650000000,95.1540000000,92.1270000000,88.6560000000,84.7590000000,1691.2400000000,1573.1200000000,1437.5600000000,1289.8900000000,1172.1900000000,1084.2200000000,996.4900000000,918.4600000000,93.0160000000,85.0000000000,76.2690000000,69.3100000000,64.1080000000,58.9210000000,54.3070000000,11695.4200000000,11158.6500000000,10896.0400000000,10396.9300000000,9745.5900000000,8952.1600000000,8158.2400000000,7392.0200000000,95.4100000000,93.1650000000,88.8970000000,83.3280000000,76.5440000000,69.7560000000,63.2040000000,3119.8100000000,3887.3500000000,4106.0800000000,4450.9100000000,4788.8800000000,5170.5700000000,5479.3600000000,5680.3500000000,124.6020000000,131.6130000000,142.6660000000,153.4990000000,165.7330000000,175.6310000000,182.0740000000,1477.9400000000,2049.2200000000,2428.9900000000,2510.1300000000,2595.6600000000,2824.2700000000,3087.7300000000,3386.1900000000,138.6540000000,164.3500000000,169.8400000000,175.6270000000,191.0950000000,208.9210000000,229.1160000000,1047032.093,1047032.093
"53393545","13110",24876.2400000000,24537.7600000000,24093.9200000000,23501.2200000000,22770.0000000000,21936.7400000000,21060.0800000000,20104.6700000000,98.6390000000,96.8550000000,94.4730000000,91.5330000000,88.1840000000,84.6590000000,80.8190000000,2617.5100000000,2228.1300000000,1945.8000000000,1782.0100000000,1670.0500000000,1570.4900000000,1464.8200000000,1345.9600000000,85.1240000000,74.3380000000,68.0800000000,63.8030000000,59.9990000000,55.9620000000,51.4210000000,16718.8100000000,15950.5200000000,15732.9300000000,15028.7300000000,14022.7000000000,12851.0600000000,11786.4100000000,10784.6900000000,95.4050000000,94.1030000000,89.8910000000,83.8740000000,76.8660000000,70.4980000000,64.5060000000,5539.9300000000,6359.0600000000,6415.1100000000,6690.3900000000,7077.1700000000,7515.1000000000,7808.7600000000,7973.8900000000,114.7860000000,115.7980000000,120.7670000000,127.7480000000,135.6530000000,140.9540000000,143.9350000000,2745.2200000000,3595.9500000000,3992.2100000000,3996.1700000000,3937.9300000000,4131.8500000000,4490.4300000000,4886.0100000000,130.9900000000,145.4240000000,145.5680000000,143.4470000000,150.5110000000,163.5730000000,177.9820000000,1047032.093,420406.524
"53393553","13110",15894.6100000000,16361.8700000000,16352.8900000000,16239.7000000000,16002.2800000000,15659.4000000000,15254.2500000000,14769.9300000000,102.9400000000,102.8830000000,102.1710000000,100.6770000000,98.5200000000,95.9710000000,92.9240000000,1791.3400000000,1727.0300000000,1604.6200000000,1472.1200000000,1368.2900000000,1249.7400000000,1131.6500000000,1027.0100000000,96.4100000000,89.5770000000,82.1800000000,76.3840000000,69.7660000000,63.1730000000,57.3320000000,11235.1200000000,11231.2400000000,11195.7100000000,10925.9700000000,10387.7300000000,9705.6900000000,9015.8800000000,8238.3800000000,99.9650000000,99.6490000000,97.2480000000,92.4580000000,86.3870000000,80.2470000000,73.3270000000,2868.1600000000,3403.5600000000,3552.5000000000,3841.5500000000,4246.2100000000,4703.9100000000,5106.6900000000,5504.5000000000,118.6670000000,123.8600000000,133.9380000000,148.0460000000,164.0040000000,178.0480000000,191.9170000000,1469.2600000000,1825.3500000000,2111.8100000000,2173.3400000000,2229.1000000000,2428.7800000000,2761.9700000000,3130.3700000000,124.2360000000,143.7330000000,147.9210000000,151.7160000000,165.3060000000,187.9840000000,213.0580000000,1046924.908,190947.764
"53393554","13110",20806.6300000000,20991.0300000000,20723.6000000000,20309.3700000000,19775.2400000000,19177.5700000000,18545.3400000000,17833.2000000000,100.8860000000,99.6010000000,97.6100000000,95.0430000000,92.1700000000,89.1320000000,85.7090000000,1798.8000000000,2074.7600000000,1991.3800000000,1743.3800000000,1549.2700000000,1388.8500000000,1274.1200000000,1193.3000000000,115.3410000000,110.7060000000,96.9190000000,86.1280000000,77.2100000000,70.8320000000,66.3390000000,14955.3700000000,14046.4300000000,13762.5300000000,13282.9100000000,12440.6700000000,11328.6400000000,10056.1000000000,8902.0900000000,93.9220000000,92.0240000000,88.8170000000,83.1850000000,75.7500000000,67.2410000000,59.5240000000,4052.4500000000,4869.7800000000,4969.6100000000,5283.0100000000,5785.2300000000,6460.0100000000,7215.0400000000,7737.7500000000,120.1690000000,122.6320000000,130.3660000000,142.7590000000,159.4100000000,178.0410000000,190.9400000000,2036.8800000000,2603.0000000000,3019.0600000000,3102.1500000000,3089.0800000000,3294.0900000000,3731.6500000000,4310.5100000000,127.7930000000,148.2200000000,152.2990000000,151.6570000000,161.7220000000,183.2040000000,211.6230000000,1046924.908,1043010.704
