id,distance,angle,height
"1",27400.00000,26.85137,3.900
"1",27500.00000,26.85137,3.900
"1",27600.00000,26.85137,3.900
"1",27700.00000,26.85137,4.000
"1",27800.00000,26.85137,4.000
"1",27900.00000,27.70758,3.900
"1",28000.00000,27.70758,3.900
"1",28100.00000,27.17625,3.900
"1",28200.00000,27.17625,3.900
"1",28300.00000,12.73474,4.000
"1",28400.00000,341.32985,4.000
"1",28500.00000,341.32985,4.000
"1",28600.00000,341.32985,4.000
"1",28700.00000,341.32985,4.000
"1",28800.00000,341.60389,4.000
"1",28900.00000,341.60389,4.100
"1",29000.00000,341.60389,4.200
"1",29100.00000,341.60389,4.300
"1",29200.00000,341.59356,4.300
"1",29300.00000,341.59356,4.300
"1",29400.00000,341.59356,4.400
"1",29500.00000,341.59356,4.500
"1",29600.00000,16.25758,4.400
"1",29700.00000,272.99655,4.500
"1",29800.00000,244.69297,5.200
"1",29900.00000,244.69297,5.200
"1",30000.00000,244.69297,6.000
"1",30100.00000,256.71940,6.900
"1",30200.00000,256.71940,7.300
"1",30300.00000,276.01718,7.300
"1",30400.00000,312.08752,7.200
"1",30500.00000,312.08752,6.200
"1",30600.00000,298.06062,6.100
"1",30700.00000,268.44625,4.800
"1",30800.00000,268.44625,4.700
"1",30900.00000,170.87693,4.500
"1",31000.00000,170.73058,4.400
"1",31100.00000,169.42590,4.800
"1",31200.00000,171.92760,5.600
"1",31300.00000,178.80816,6.500
"1",31400.00000,182.89103,7.500
"1",31500.00000,109.32279,7.800
"1",31600.00000,134.10730,7.800
"1",31700.00000,163.91968,7.600
"1",31800.00000,163.91968,7.500
"1",31900.00000,163.91968,7.300
"1",32000.00000,192.35954,7.200
"1",32100.00000,201.16488,7.300
"1",32200.00000,212.55834,7.100
"1",32300.00000,196.44696,7.100
"1",32400.00000,196.44696,7.300
"1",32500.00000,207.97022,7.200
"1",32600.00000,207.97022,7.100
"1",32700.00000,207.97022,6.900
"1",32800.00000,207.97022,6.000
"1",32900.00000,27.77647,5.800
"1",33000.00000,27.77647,6.800
"1",33100.00000,27.77647,7.100
"1",33200.00000,27.77647,7.300
"1",33300.00000,27.77647,7.400
"1",33400.00000,16.06018,7.300
"1",33500.00000,16.06018,7.100
"1",33600.00000,26.41288,7.300
"1",33700.00000,12.37824,7.300
"1",33800.00000,12.37824,7.400
"1",33900.00000,343.45076,7.500
"1",34000.00000,343.45076,7.700
"1",34100.00000,315.37180,7.900
"1",34200.00000,286.59777,7.900
"1",34300.00000,3.58397,7.600
"1",34400.00000,3.65509,6.600
"1",34500.00000,352.00548,5.800
"1",34600.00000,349.48496,4.900
"1",34700.00000,350.58997,4.400
"1",34800.00000,350.93071,4.500
"1",34900.00000,344.19737,4.600
"1",35000.00000,335.61170,5.200
"1",35100.00000,335.45831,5.600
"1",35200.00000,335.45831,5.500
"1",35300.00000,335.21498,5.400
"1",35400.00000,337.26664,5.500
"1",35500.00000,341.49304,5.200
"1",35600.00000,0.26610,5.100
"1",35700.00000,287.63725,6.200
"1",35800.00000,284.49116,5.900
"1",35900.00000,276.17813,6.000
"1",36000.00000,276.17813,6.100
"1",36100.00000,276.17813,6.100
"1",36200.00000,276.17813,7.100
"1",36300.00000,270.78886,8.600
"1",36400.00000,270.78886,7.700
"1",36500.00000,254.05972,6.700
"1",36600.00000,248.10406,5.700
"1",36700.00000,224.12450,6.200
"1",36800.00000,215.60580,7.500
"1",36900.00000,208.93396,8.800
"1",37000.00000,215.65104,9.300
"1",37100.00000,215.65104,9.500
"1",37200.00000,214.53348,9.500
"1",37300.00000,214.53348,9.700
"1",37400.00000,214.53348,9.900
"1",37500.00000,210.04735,14.800
"1",37600.00000,208.47889,18.500
"1",37700.00000,213.16441,19.000
"1",37800.00000,216.41106,18.500
"1",37900.00000,225.96021,16.300
"1",38000.00000,228.32807,16.400
"1",38100.00000,238.06805,17.200
"1",38200.00000,252.97937,18.500
"1",38300.00000,254.46573,17.600
"1",38400.00000,254.46573,18.000
"1",38500.00000,263.51802,19.200
"1",38600.00000,275.54720,19.100
"1",38700.00000,275.54720,19.000
"1",38800.00000,286.63705,18.900
"1",38900.00000,301.31785,19.400
"1",39000.00000,287.54329,19.200
"1",39100.00000,277.28237,19.000
"1",39200.00000,271.92762,19.000
"1",39300.00000,269.01872,24.500
"1",39400.00000,252.77834,21.900
"1",39500.00000,252.77834,26.600
"1",39600.00000,252.77834,27.900
"1",39700.00000,252.82584,29.400
"1",39800.00000,267.64666,29.600
"1",39900.00000,282.21456,29.800
"1",40000.00000,263.11111,31.200
"1",40100.00000,151.73450,29.900
"1",40200.00000,151.73450,29.900
"1",40300.00000,181.54583,29.900
"1",40400.00000,165.93570,30.200
"1",40500.00000,180.19527,30.800
"1",40600.00000,180.19527,31.000
"1",40700.00000,180.19527,30.600
"1",40800.00000,180.19527,30.900
"1",40900.00000,181.77038,29.900
"1",41000.00000,204.60838,29.900
"1",41100.00000,229.08705,29.900
"1",41200.00000,229.62418,29.900
"1",41300.00000,187.37087,29.900
"1",41400.00000,111.90477,29.900
"1",41500.00000,111.90477,30.500
"1",41600.00000,144.35725,31.100
"1",41700.00000,158.27145,31.600
"1",41800.00000,158.27145,31.600
"1",41900.00000,218.63531,31.000
"1",42000.00000,294.72586,30.500
